V1	V2
21.496296	-30.856697
23.901041	-32.867027
24.323534	-31.22376
21.664444	-32.523445
23.797361	-32.381393
22.613043	-34.610542
24.059307	-34.13791
22.706417	-34.160034
22.744043	-33.0345
21.17623	-33.66773
24.132097	-34.153984
23.23732	-29.558771
23.561625	-32.651844
21.236242	-34.196934
22.864624	-32.70189
24.521742	-32.59873
23.158619	-33.976425
23.115726	-30.38342
21.136753	-32.383068
21.484112	-29.811995
23.565647	-32.505367
23.372417	-30.26433
21.140991	-31.82899
19.871857	-29.95354
20.180906	-29.589874
22.310593	-34.555832
20.820827	-33.119427
24.12388	-33.804924
23.068956	-33.30117
23.114689	-29.388382
21.161034	-33.46767
21.06995	-32.61262
23.061949	-34.33607
20.360767	-30.730068
20.210196	-29.960154
21.414621	-31.647467
23.873882	-32.672558
23.894646	-29.830772
22.781553	-34.307278
22.59297	-33.52593
21.641132	-29.77545
21.589083	-32.222095
22.8167	-30.35143
19.592007	-29.98366
20.851051	-30.07904
21.927727	-30.95574
22.633215	-28.082174
23.807636	-32.69675
23.539507	-33.121105
22.123531	-33.438595
21.699047	-34.851837
23.389654	-33.978767
23.644304	-33.574326
24.548393	-33.656788
22.834352	-33.67599
24.198147	-33.286655
23.37939	-33.400723
21.989721	-31.008446
22.023546	-32.16489
24.693441	-33.79073
22.901182	-33.485317
20.536524	-32.766315
22.981667	-34.729805
21.242773	53.409637
20.200079	-29.639801
20.332964	-32.317966
22.77879	-31.266586
21.83719	-32.54953
21.296164	-31.502449
20.424667	-33.132618
22.761282	-28.43787
24.245287	-33.644997
21.532066	-31.96033
23.130747	-32.70238
23.679966	-31.571068
23.314514	-32.189327
20.436928	-33.098995
22.861343	-34.510113
24.188774	-33.416435
21.455982	-30.61468
21.585846	-30.23514
22.366646	-30.299112
22.263199	-32.611385
21.505594	-33.50798
22.98826	-31.79532
24.52964	-29.606369
21.355976	-31.441017
23.169975	-30.926447
21.506136	-30.894331
21.159771	-33.655354
19.123146	32.08601
22.601238	-30.58675
22.917864	-34.207977
21.294485	-31.83988
21.968288	-31.734514
22.869896	-29.742811
22.566872	-28.593138
20.313166	-29.764137
22.524538	-30.97608
24.035332	-31.597578
18.968756	31.794022
22.816864	-31.123484
23.369463	-33.26721
17.572338	30.090778
19.100647	31.821987
20.917173	-31.205873
17.362312	29.792933
18.994778	32.023106
22.067081	-30.003021
23.692535	-33.813137
22.20214	-32.877396
22.9986	-34.354687
23.42584	-33.968903
19.29649	-30.073528
20.033205	-31.39296
20.581602	-30.88175
21.341	-33.37667
22.29765	-28.867113
19.81206	-30.522038
22.706177	-33.919895
22.75863	-34.301815
24.156971	-32.804707
22.75745	-29.78898
