V1	V2	Bin
35.322556	45.79388	bin_5
11.064843	-26.547379	bin_6
4.9411573	-46.838413	bin_7
20.580013	24.823513	bin_3
-67.51262	-5.639459	bin_4
-6.5743003	-36.140648	bin_2
27.999575	38.121	bin_5
-3.5417387	-31.519424	bin_2
9.257039	-25.7679	bin_6
35.546738	42.68286	bin_5
2.1281793	-48.106102	bin_7
-22.312935	-9.042306	bin_1
-9.990597	-17.225145	bin_2
-63.448822	-4.354631	bin_4
36.480423	43.306805	bin_5
21.90219	24.115776	bin_3
-1.3011312	-35.43233	bin_2
9.180466	-25.972174	bin_6
1.7444394	-46.53735	bin_7
30.777704	41.396152	bin_5
-11.196968	-48.69592	bin_8
-9.808521	-29.633104	bin_2
20.955254	22.88276	bin_3
29.17341	38.98872	bin_5
-4.864645	-27.331526	bin_2
-64.02447	-5.2629075	bin_4
9.272824	-25.799177	bin_6
2.0427551	-47.072144	bin_7
-59.67494	12.866175	bin_1
29.957321	42.504	bin_5
-6.1564684	-33.672264	bin_2
-9.862895	-51.065735	bin_8
23.022396	25.085955	bin_3
24.74067	27.658348	bin_2
31.066917	44.29576	bin_5
1.4572725	-46.155754	bin_7
-4.458759	-30.040361	bin_2
9.6437025	-26.137396	bin_6
-8.95531	-49.377693	bin_8
34.347553	45.645027	bin_5
-0.9876712	-29.805614	bin_2
33.761154	34.968815	bin_5
-56.806805	16.464312	bin_1
20.629328	25.698057	bin_3
-1.4597735	-36.22435	bin_2
0.66905504	14.93687	bin_6
-9.8611	-49.195976	bin_8
1.4230961	-47.049843	bin_7
37.64543	41.26147	bin_5
-1.7422264	-32.15984	bin_2
29.239758	36.07216	bin_5
-65.09021	-6.218927	bin_4
1.2082081	9.12993	bin_6
-10.972818	-49.57255	bin_8
3.0377614	-47.776962	bin_7
25.560549	23.438696	bin_3
31.066093	43.84635	bin_5
-5.7610526	-31.954636	bin_2
-54.406803	12.72491	bin_1
37.23405	40.50147	bin_5
2.24472	5.538962	bin_6
20.812605	23.0662	bin_3
-63.470448	-5.1895514	bin_4
-7.8530354	-31.575502	bin_2
32.074512	35.590614	bin_5
-9.329176	-51.54914	bin_8
2.9565902	-45.14468	bin_7
21.668812	23.182413	bin_3
8.463049	43.104877	bin_5
0.81511486	10.862094	bin_6
-66.00827	-1.84011	bin_4
-1.6408769	-32.000965	bin_2
33.674286	45.804882	bin_5
-8.716541	-50.658466	bin_8
25.031855	24.86007	bin_3
1.9098603	-46.632683	bin_7
0.9625072	11.069644	bin_6
31.087746	34.77005	bin_5
-6.936394	-35.59962	bin_2
-55.04837	16.26785	bin_1
21.196062	24.310984	bin_3
-7.4116178	-51.771263	bin_8
25.868038	35.10828	bin_5
0.82487327	12.382801	bin_6
-6.8644676	-28.36517	bin_2
22.037134	25.76832	bin_3
34.156155	44.68986	bin_5
3.0235112	-46.143787	bin_7
-10.002246	-51.726974	bin_8
31.509155	36.22458	bin_5
-3.1792219	-35.189217	bin_2
25.052917	23.972721	bin_3
0.9286784	15.79232	bin_6
-67.11167	-1.9533777	bin_4
-54.987762	12.305871	bin_1
30.166515	35.328793	bin_5
3.4525642	-46.00551	bin_7
-8.23806	-51.67847	bin_8
-7.0802193	-34.033348	bin_2
35.346886	45.119576	bin_5
19.255098	24.078325	bin_3
0.62570465	12.928017	bin_6
1.9962177	-46.01371	bin_7
34.592705	40.58166	bin_5
-4.9982452	-33.4897	bin_2
-58.217182	11.766688	bin_1
-9.7806225	-52.11928	bin_8
34.406956	42.802742	bin_5
1.1944041	9.907501	bin_6
-23.582785	-9.2233715	bin_2
-65.06945	-6.0385237	bin_4
3.6814263	-47.640305	bin_7
18.154205	22.39032	bin_3
6.0000706	42.26568	bin_5
-56.554386	15.525007	bin_1
31.873713	-45.84471	bin_9
-8.763401	-31.822058	bin_2
0.7802789	10.771398	bin_6
27.7407	39.49661	bin_5
-9.591753	-51.849525	bin_8
29.173883	39.104294	bin_5
-9.145241	-31.010912	bin_2
18.369846	24.598083	bin_3
34.159557	-44.412006	bin_9
-67.13478	-3.943769	bin_4
1.9353964	-48.60735	bin_7
2.063831	8.244176	bin_6
36.186935	39.823563	bin_5
-56.597897	14.637365	bin_1
-9.547308	-54.157345	bin_8
-15.338801	-14.978416	bin_2
34.977856	44.34776	bin_5
32.737938	-46.764713	bin_9
1.9035722	-44.985554	bin_7
0.7883904	12.444328	bin_6
-53.044437	15.14257	bin_1
35.63031	45.252907	bin_5
-9.559823	-53.947617	bin_8
24.414576	25.237501	bin_3
-8.6142645	-32.40952	bin_2
36.447044	44.06229	bin_5
32.919796	-42.218388	bin_9
1.5631756	-45.7239	bin_7
2.668258	6.700636	bin_6
-58.14081	14.38543	bin_1
-9.782971	-54.214935	bin_8
36.393112	44.40548	bin_5
-8.041011	-33.14639	bin_2
-65.4328	-5.8856845	bin_4
19.776356	24.228012	bin_3
34.516155	41.336468	bin_5
33.31106	-43.315105	bin_9
2.5069075	-47.70536	bin_7
0.5888625	15.776561	bin_6
-54.259537	11.032801	bin_1
-9.217652	-52.811386	bin_8
32.583225	43.16815	bin_5
-7.8434005	-34.93845	bin_2
34.05914	-42.608322	bin_9
36.91624	37.23148	bin_5
2.261461	5.26126	bin_6
20.28029	23.966778	bin_3
-8.065507	-52.82194	bin_8
26.536201	-44.217545	bin_4
6.4802203	18.814444	bin_5
1.6329167	-46.14963	bin_7
-56.142895	15.777633	bin_1
15.800347	-4.988029	bin_10
20.611609	26.17156	bin_3
33.72601	42.467197	bin_5
0.8298323	10.4794235	bin_6
-31.03579	-18.365465	bin_4
34.541615	-41.549015	bin_9
1.3240049	-44.934074	bin_7
35.715275	46.024887	bin_5
-57.078236	12.506274	bin_1
6.4082747	21.7076	bin_3
-11.80267	-50.487747	bin_8
15.02637	-9.133267	bin_10
1.6739001	7.939388	bin_6
36.504665	37.59328	bin_5
19.446707	24.48193	bin_3
34.19843	-44.90285	bin_9
1.9864881	-44.540916	bin_7
-58.23223	13.973036	bin_1
36.443962	38.484543	bin_5
-7.845949	-53.726845	bin_8
26.130703	-43.648476	bin_4
0.8835958	10.275814	bin_6
36.608913	38.120346	bin_5
17.536436	24.393206	bin_3
32.234486	-45.21221	bin_9
2.2922306	-44.99336	bin_7
20.484604	0.43454942	bin_10
-54.166588	14.813347	bin_1
30.724466	36.669846	bin_5
-9.266862	-54.12783	bin_8
8.691601	21.002523	bin_3
-64.34781	-6.580787	bin_4
0.6458132	14.83747	bin_6
34.81044	36.34778	bin_5
34.16727	-44.754433	bin_9
19.407887	22.896626	bin_3
-8.924529	-53.58914	bin_8
28.830471	40.580418	bin_5
-59.101784	12.117211	bin_1
2.9553094	-45.402023	bin_7
-65.44796	-2.603881	bin_4
1.0416299	12.831738	bin_6
20.388632	-1.1315997	bin_10
31.343578	44.37444	bin_5
34.24986	-44.752254	bin_9
17.927294	23.335255	bin_3
-8.377655	-52.756218	bin_8
-56.23004	15.779982	bin_1
33.7057	43.44764	bin_5
2.49013	-47.32563	bin_7
3.311561	8.593002	bin_6
23.377934	24.438852	bin_3
33.133987	-46.96996	bin_9
29.301638	42.039062	bin_5
-66.99874	-0.76332927	bin_4
18.566956	-5.8018837	bin_10
-7.8915563	-54.234352	bin_8
-61.185505	12.1986065	bin_1
21.598768	23.487736	bin_3
33.712967	35.915577	bin_5
2.687659	-48.092678	bin_7
3.6817217	-0.49395573	bin_6
33.930023	-43.998714	bin_9
35.394188	35.34239	bin_5
19.363613	23.713007	bin_3
-66.26016	-3.2240617	bin_4
-57.64147	13.231193	bin_1
3.4099143	-48.205894	bin_7
34.57682	46.78895	bin_5
3.224494	8.4774475	bin_6
17.589115	-4.729041	bin_10
-10.125518	-53.032814	bin_8
13.339243	-57.501343	bin_11
32.429737	-46.63264	bin_9
18.143322	23.728367	bin_3
29.002647	35.159992	bin_5
-65.76282	-1.5987293	bin_4
18.75953	23.601795	bin_3
37.139565	41.986908	bin_5
-55.809	14.145868	bin_1
2.917814	-46.852837	bin_7
-7.968469	-54.09799	bin_8
15.601872	-57.734615	bin_11
3.5951746	-0.6133784	bin_6
18.908102	-4.607512	bin_10
32.840477	45.581635	bin_5
17.973097	23.822466	bin_3
-66.5212	-4.7661557	bin_4
36.400505	42.398098	bin_5
0.89400285	-44.69147	bin_7
-9.770147	-54.21609	bin_8
-53.733906	16.693338	bin_1
32.39083	-46.316414	bin_9
2.1800947	6.8562737	bin_6
14.284668	-58.34268	bin_11
20.301188	23.558474	bin_3
33.10388	44.467827	bin_5
15.976287	-6.3613834	bin_10
-66.37972	-5.6009808	bin_4
1.7425327	-44.549507	bin_7
32.798733	42.496918	bin_5
-57.14039	17.20202	bin_1
-9.748986	-53.757477	bin_8
18.733988	25.273108	bin_3
2.272915	6.3272724	bin_6
33.399727	38.597157	bin_5
19.048473	24.084406	bin_3
-65.9363	-6.3626385	bin_4
1.5441456	-44.50693	bin_7
17.560547	-7.0782185	bin_10
-55.066013	13.942265	bin_1
28.168201	39.561142	bin_5
7.914141	-55.585026	bin_11
1.0736916	9.430445	bin_6
30.237669	-46.51789	bin_9
23.339108	23.544436	bin_3
27.498621	39.904995	bin_5
-8.2262	-54.1298	bin_8
14.295064	-60.305103	bin_11
34.630424	37.6497	bin_5
-54.80333	16.283415	bin_1
27.83749	-45.340996	bin_9
19.120644	24.778011	bin_3
17.565866	-4.811853	bin_10
2.4759593	-44.69278	bin_7
-65.20047	-5.5691524	bin_4
1.2708915	11.657618	bin_6
27.68088	42.158497	bin_5
21.906546	22.743036	bin_3
8.268007	-55.252884	bin_11
-59.631237	14.33867	bin_1
33.23128	40.90244	bin_5
-7.876187	-53.37447	bin_8
31.820147	-44.413017	bin_9
3.2093449	-46.26928	bin_7
-67.40802	-5.51512	bin_4
1.5532863	11.382791	bin_6
15.133493	-5.4245157	bin_10
27.009872	37.595264	bin_5
18.476295	23.629045	bin_3
8.094083	-55.288616	bin_11
-54.705036	15.078693	bin_1
31.139452	45.52761	bin_5
30.105637	-44.28705	bin_9
3.224112	-45.693523	bin_7
-65.1923	-2.4398599	bin_4
19.184425	25.92815	bin_3
0.6345961	14.10646	bin_6
-9.641904	-50.825363	bin_8
28.733936	36.036972	bin_5
17.7571	-6.3820667	bin_10
-60.106884	10.58435	bin_1
10.685637	-56.184788	bin_11
17.364307	24.001657	bin_3
33.66861	39.72798	bin_5
34.064217	-45.54549	bin_9
0.982576	12.204108	bin_6
-11.404038	-50.737392	bin_8
34.228813	40.85544	bin_5
-69.06445	-3.5766268	bin_4
20.64173	23.9317	bin_3
1.9544115	-45.87401	bin_7
24.02832	1.0442526	bin_10
-54.735508	17.95707	bin_1
33.92493	-42.863472	bin_9
34.68542	45.738056	bin_5
1.8163527	7.8206058	bin_6
-9.199485	-50.27924	bin_8
19.779684	24.286482	bin_3
8.119734	-54.770702	bin_11
29.099806	41.609188	bin_5
-68.57592	-4.3995495	bin_4
3.028059	-47.55401	bin_7
-55.086323	16.926369	bin_1
19.00745	-2.1733737	bin_10
29.050238	-45.098454	bin_9
18.534454	23.602993	bin_3
28.224272	40.86581	bin_5
0.8175758	9.913451	bin_6
-8.957251	-50.447353	bin_8
13.820323	-56.389057	bin_11
-65.51561	-2.5081573	bin_4
32.4314	41.121704	bin_5
2.863483	-47.746574	bin_7
18.62482	24.427584	bin_3
-55.68088	14.490916	bin_1
33.45344	-44.76032	bin_9
23.150108	-3.154614	bin_10
32.250042	38.331257	bin_5
-9.403745	-50.042816	bin_8
9.835434	-56.846107	bin_11
18.446121	24.514002	bin_3
2.2480724	6.6815953	bin_6
32.02948	41.14202	bin_5
-55.022797	14.918491	bin_1
34.852425	-45.42896	bin_9
-67.026276	-1.8560799	bin_4
19.089113	24.675343	bin_3
9.613709	-55.956757	bin_11
37.64122	42.32793	bin_5
-9.506057	-50.941044	bin_8
3.310751	-47.026005	bin_7
17.71983	-4.3377776	bin_10
34.540672	41.69292	bin_5
-56.4734	14.265538	bin_1
18.022604	25.070477	bin_3
34.37983	-43.44899	bin_9
-66.32342	-4.6937685	bin_4
22.384623	16.074856	bin_11
37.61968	40.93712	bin_5
4.1075497	-47.21962	bin_7
18.833986	24.71897	bin_3
20.094099	-6.003533	bin_10
-7.3161006	-50.39423	bin_8
30.955116	44.388054	bin_5
-58.874054	12.83882	bin_1
33.916695	-43.49781	bin_9
13.611214	-54.422718	bin_11
-65.61464	-0.7915595	bin_4
20.736435	24.325478	bin_3
4.388761	-46.99091	bin_7
38.78311	40.40043	bin_5
0.6577443	9.441768	bin_6
-12.002065	-51.71279	bin_8
20.882826	1.1858338	bin_10
-57.97867	12.688143	bin_1
12.155864	-57.49027	bin_11
32.87518	-45.74191	bin_9
18.954401	23.921045	bin_3
-68.23212	-3.5101666	bin_4
33.857212	39.559406	bin_5
-8.90587	-54.28527	bin_8
24.456411	25.879776	bin_3
13.773344	-56.08899	bin_11
2.0372539	-46.122555	bin_7
-56.814808	14.824939	bin_1
34.64638	-45.67214	bin_9
21.864622	-2.527361	bin_10
-64.315506	-4.828473	bin_4
32.610535	39.313362	bin_5
1.0150244	9.206771	bin_6
21.67406	22.450596	bin_3
10.890664	-55.06688	bin_11
-7.779687	-51.099236	bin_8
2.9839218	-47.78859	bin_7
32.451336	-46.95497	bin_9
-56.033672	16.41429	bin_1
20.690998	-2.2836838	bin_10
-65.50046	-1.9386257	bin_4
14.949284	-55.375	bin_11
-5.209861	-66.91376	bin_12
24.889505	23.894405	bin_3
2.5351207	-48.968655	bin_7
-54.18726	13.134212	bin_1
-8.355336	-51.635544	bin_8
18.940948	-1.6566733	bin_10
13.549898	-55.182903	bin_11
22.16635	22.655436	bin_3
32.94984	-43.67272	bin_9
-64.85498	-2.9582891	bin_4
-54.988705	17.390797	bin_1
0.40391096	10.736128	bin_6
-7.283427	-65.85855	bin_12
-3.2660844	-12.201526	bin_3
-7.6791816	-52.47595	bin_8
9.033459	-54.38583	bin_11
1.9759376	-47.445934	bin_7
34.331623	-43.936367	bin_9
19.205755	-2.8426797	bin_10
-68.70231	-4.0893083	bin_4
25.147854	23.965137	bin_3
14.093955	-57.633476	bin_11
-3.196331	-67.87003	bin_12
-9.804765	-47.913868	bin_8
3.0840678	-46.34668	bin_7
28.119814	-44.994904	bin_9
-56.36795	17.72996	bin_1
0.74752605	11.493118	bin_6
26.216639	24.688269	bin_3
16.8335	-7.060711	bin_10
15.83096	-55.902447	bin_11
-68.3998	-5.484334	bin_4
2.8135893	-45.12131	bin_7
25.553623	24.62625	bin_3
28.008507	-44.59506	bin_9
-56.717476	15.754863	bin_1
15.260341	-54.426216	bin_11
-3.201251	-67.93842	bin_12
-11.976548	-50.053596	bin_8
20.976238	-0.59564996	bin_10
-0.015031593	13.728843	bin_6
23.673227	22.617392	bin_3
-67.08514	-4.465329	bin_4
8.062641	-55.866543	bin_11
32.67514	-44.376003	bin_9
-59.893517	14.950708	bin_1
-4.948961	-65.738495	bin_12
2.7123597	-45.428257	bin_7
23.952044	24.108713	bin_3
18.979406	-0.10363963	bin_10
16.092684	-55.854412	bin_11
-17.999569	-10.181528	bin_4
0.88688344	13.547433	bin_8
28.175344	-43.761692	bin_9
23.483896	23.075584	bin_3
4.1082172	-45.65058	bin_7
9.698001	-54.658665	bin_11
19.291624	-2.9650044	bin_10
-0.89426315	8.431366	bin_6
-6.7413745	-66.05266	bin_12
-65.39744	-5.0660896	bin_4
-8.866428	-52.531467	bin_8
33.659363	-46.093826	bin_9
-55.36572	14.487886	bin_1
12.22955	-56.807137	bin_11
2.5397727	-48.51467	bin_7
20.327105	24.706644	bin_3
14.090938	-4.147167	bin_10
-5.523505	-64.709465	bin_12
22.28063	16.090755	bin_11
-65.32296	-1.928488	bin_4
-8.054502	-51.89966	bin_8
24.25272	24.826035	bin_3
0.7076187	15.517091	bin_6
8.767762	-57.718727	bin_11
2.068076	-45.060783	bin_7
32.8345	-42.257908	bin_9
25.284409	25.633465	bin_3
